COD_ANTERIOR|CODIGO_NUEVO|PRODUCTO
5500010000090|5500019000090|CERVEZA AGUILA LATA 355ML                                   
5500010000091|5500019000091|CERVEZA CLUB COLOMBIA LATA 355ML                            
5500010000092|5500019000092|CERVEZA CLUB COLOMBIA NEGRA LATA 355ML                      
5500010000093|5500019000093|CERVEZA CLUB COLOMBIA ROJA LATA 355ML                       
5500010000094|5500019000094|CERVEZA POKER LATA 355ML                                    
5500010000095|5500019000095|CERVEZA AGUILA CERO LATA 355ML X 6                          
5500010000096|5500019000096|CERVEZA AGUILA LATA 355ML X 6                               
5500010000097|5500019000097|CERVEZA CLUB COLOMBIA LATA 355ML X 6                        
5500010000098|5500019000098|CERVEZA CLUB COLOMBIA NEGRA LATA 355ML X 6                  
5500010000099|5500019000099|CERVEZA CLUB COLOMBIA ROJA LATA 355ML X 6                   
5500010000100|5500019000100|CERVEZA POKER LATA 355ML X 6
